,g_id_right,popTot,id,avg,lamb
0,0.0,322,38,42.53833333333333,0.023508208282725387
1,1.0,13,6,115.58333333333333,0.008651766402307137
2,2.0,480,86,18.93932748538012,0.05280018526380794
3,3.0,433,214,7.715773809523809,0.1296046287367406
4,4.0,834,79,20.98447712418301,0.04765427292193887
5,5.0,106,24,39.93541666666667,0.02504042986071261
9,9.0,260,35,43.42210144927537,0.02302974675622679
11,11.0,1576,274,5.126785714285714,0.19505398815743644
12,12.0,763,74,18.691964285714285,0.05349892524480535
13,13.0,55,10,213.93333333333334,0.004674353381115612
14,16.0,52,11,112.29166666666667,0.008905380333951763
17,20.0,103,9,182.64166666666668,0.005475201898069991
18,22.0,247,26,47.98958333333333,0.020837855437377904
19,23.0,1329,203,7.584800469483569,0.1318426244729003
20,24.0,315,32,40.718333333333334,0.024558961974540543
21,25.0,92,8,129.67361111111114,0.007711669255074169
23,28.0,557,60,29.320945945945947,0.034105311671851594
24,29.0,667,262,5.684773123909249,0.1759085152922215
25,30.0,647,44,29.33896396396396,0.034084366483706295
27,32.0,931,114,12.121722846441946,0.08249652402286421
28,33.0,2780,764,1.9800824175824177,0.5050294831772459
29,34.0,1814,438,3.399164054336468,0.29418997848140177
30,35.0,1940,251,5.7581569664903,0.17366667942876832
31,36.0,417,72,21.23416666666667,0.0470939131117303
32,37.0,20,14,136.14583333333331,0.007345065034429993
35,40.0,1,6,101.47916666666667,0.009854239375898173
36,41.0,30,6,131.53125,0.007602755999049656
37,42.0,28,13,104.3875,0.009579691054963478
38,43.0,1446,186,7.560579196217493,0.13226499902286498
39,44.0,477,77,17.114406779661017,0.05843030453082446
40,45.0,341,64,23.659420289855074,0.04226646248085758
41,46.0,1454,458,3.0634416195856877,0.3264302455142736
42,47.0,1598,799,1.831285310734463,0.5460645559369095
43,48.0,1629,1127,1.3015271035598708,0.7683282178794824
44,49.0,1122,473,3.2979797979797985,0.3032159264931087
45,50.0,92,86,16.003109452736318,0.06248785606031167
46,51.0,36,18,67.91944444444445,0.014723324199419244
47,52.0,44,19,78.75757575757575,0.012697191227395153
50,56.0,14,6,493.5416666666667,0.0020261713803292527
51,57.0,11,12,94.22222222222221,0.010613207547169812
54,62.0,388,25,56.8014705882353,0.017605177993527506
55,63.0,429,29,51.735416666666666,0.019329118511657875
